lat,long,Temp,Prec
8.1666667,-61.75,250,1414
7.967,-61.883,255,1155
7.6333333,-64.8833333,280,1527
7.5591,-60.9225,259,1783
7.36667,-65.58333,265,1906
7.366666667,-60.48333333,260,2076
7.25,-65,276,1890
6.963,-64.899,275,1949
6.61667,-65.46667,232,2451
6.59333,-62.65194,252,2024
6.5,-64.75,273,2543
6.3333,-63.6667,256,2873
6.2833,-64.4667,261,2938
6.0833,-63.75,255,3120
5.95,-62.5,196,2349
5.86667,-61.45,195,1782
5.83333,-63.666667,217,3125
5.8,-63.86667,247,3100
5.78333,-66.36667,235,2865
5.7667,-61.7667,196,2167
5.73333,-62.51667,206,2665
5.4333,-62.4167,217,2993
5.3333333,-60.7666667,197,1814
5.333,-55.05,266,2229
5.30363,-59.83762,220,2289
5.1,-60.6667,192,1767
5.1,-67.5167,278,2617
5.05,-63.05,254,3987
5.017,-55.567,266,2214
4.9667,-67.7167,279,2763
4.94179,-55.171752,260,2352
4.93,-59.88,220,1915
4.848194,-56.776361,269,2307
4.75,-59.01666667,264,2318
4.6667,-61.45,218,2241
4.4667,-63.95,248,3129
4.4667,-64.75,233,3135
4.4167,-62.9667,250,3158
4.333,-58.783,263,2033
4.283333333,-58.51666667,268,2051
4.2333,-64.5167,223,3052
4.100556,-59.164167,270,1639
4,-63.06667,245,2573
3.950143,-51.794735,258,3436
3.75322,-56.52036,248,2553
3.75,-51.367,261,3436
3.6167,-53.2001,243,2437
3.41667,-59.56667,272,1558
3.3306833,-59.2546333,253,1568
2.8333,-64.4167,240,2297
2.385189,-74.62428,253,2297
2.2,-59.3666667,267,1640
1.6114,-65.3011,246,2714
1.516667,-75.683333,238,2881
1.5,-75.466667,257,3332
1.4787,-62.2446,261,1858
1.38333,-58.93333,258,1965
1.349,-76.103,192,2677
1.2598,-70.2367,258,3285
1.183,-65.017,241,2737
1.15,-76.616667,233,4192
0.98,-52.05,261,2461
0.8333,-66,214,3284
0.6663889,-77,233,3219
0.5330556,-76.55,249,3641
0.50194,-77.22861,197,2417
0.261,-72.923,263,2776
0.25,-77.25,238,2909
0.212,-72.418,268,2791
0.0708333,-72.02972222,265,2867
0.0666667,-72.76666667,263,2814
0.05,-76.983,246,3468
-0.083,-76.333,252,3295
-0.1,-77.6,184,2755
-0.166666667,-77.3,241,3316
-0.38,-77.67,155,2232
-0.3833333,-76.6333333,248,3261
-0.433,-77.333,243,3296
-0.45,-76.28,252,3131
-0.4667,-76.8334,247,3382
-0.4714,-76.4603,250,3207
-0.5,-76,253,2987
-0.6252,-75.7266,256,2777
-0.638,-76.149,253,2987
-0.65,-75.267,259,2691
-0.6742,-76.3978,250,3133
-0.694,-77.311,243,3186
-0.731,-77.785,206,4007
-0.833,-77.567,209,4193
-0.98,-77.82,223,4065
-1.1048,-76.7317,249,3195
-1.117,-77.55,238,3645
-1.4666667,-77.9833333,212,4439
-1.4676,-77.529,232,3933
-1.583,-77.785,231,4011
-1.7874,-77.8326,229,3861
-1.9066,-59.4026,271,2376
-1.9166666,-77.2333298,245,3332
-2.099,-78.152,202,3025
-2.116666667,-76.06666667,255,2955
-2.367,-74.083,262,3378
-2.367,-77.5,246,2829
-2.43333,-78.05,212,2720
-2.54,-76.859,254,2805
-2.55,-77.9,223,2796
-2.566666667,-76.11666667,255,2867
-2.75,-78,203,3082
-2.77,-78.28,227,2507
-3.05,-78.05,235,2582
-3.0936,-78.3951,217,2572
-3.616666667,-78.55,219,2164
-3.749,-78.8706,193,1848
-4.0848,-78.9501,197,1744
-4.117,-78.617,211,2502
-4.281,-77.238,267,2446
-4.3,-78.683,205,2092
-4.47,-78.17,243,2625
-4.8285805,-76.5519297,265,2263
-4.8501,-78.3167,242,2613
-6.394,-76.34,241,1416
-9,-75,260,2745
-9.3167,-76.0101,235,2367
